"","stationcode","DS_Tim","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim","DS_Dur_WS","DS_Mag_50","DS_Mag_90","Q99","FA_Dur","FA_Mag","FA_Tim"
"131","901S01849",-2,27,0,-0.0298,-29,-25,-0.832,1.5,-4,-2,0,0.1,0,NA,NA,NA
"132","901S04409",-2,27,0,-0.0298,-29,-25,-0.832,1.5,-4,-9,0,0.01,0,0,0.20175,-0.5
"133","901S06851",20,-34,20.2725,0,44,108,-0.0134,-1.2599,-53,-78.5,0.01145,-0.1633,71.9182,NA,NA,NA
"134","901S06969",-2,27,0,-0.0298,-29,-25,-0.832,1.5,-4,-2,0,0.1,0,NA,NA,NA
"135","901SJC74x",NA,NA,44.7971,NA,147.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","902S01097",-1,-21,4.2792,0,0,0,-0.006,-0.0285,-14,-1,-0.0044,-0.0059,3.5022,NA,NA,NA
"137","903M20235",0,-1,0.883,0,0,0.5,-0.20395,-1.6652,-1,-4,-0.01895,0.22895,-0.1056,NA,NA,NA
"138","903WE0798",0,0,-0.0013,0,0,0,0.00805,-0.0034,0,0,-0.00095,-0.0011,-0.0365,NA,NA,NA
"139","903WE0900",0,0,0.04175,0,0,0,0.0101,-0.006,0,0,-0.00155,-0.00155,0.0283,0,-0.1055,0
"140","905CE0512",-2,27,0,-0.0298,-29,-25,-0.832,1.5,-4,-2,0,0.1,0,NA,NA,NA
"141","905S02561",-2,-2,0,-0.0298,0,4,0.1982,1.499,-4,-10,0.0031,0.01,0,0,0.2199,0
"142","905WE0679",-2,-2,0,-0.0298,0,0,0.2,1.5,-4,-9,0,0.01,0,-1,0.2226,-3
"143","905WE1018",-2,-2,0,-0.0298,0,4,0.2,1.5,-4,-9,0,0.01,0,0,0.1974,-0.5
"144","907M23331",-23,-23,9.7165,0.0011,212,83,-0.2766,-0.2482,-83,NA,NA,NA,30.967,NA,NA,NA
"145","907M23367",-79,-24.5,-0.17855,0,0,-109,-0.8793,-2.3382,-116,42,0.3839,0.1548,-0.0313,NA,NA,NA
"146","907S00577",-1,-1,0,-6e-04,-1,5,-0.57,0,-28,-36,0,0.01,0,NA,NA,NA
"147","907S01418",0,0,-0.0026,-5e-05,0,2,-0.003,-0.00215,-4,0,-0.0022,-0.0025,-0.00255,NA,NA,NA
"148","907S01434",-2,-2,0,-0.0298,0,4,0.2,1.5,-4,-2,0,0.1,0,0,0.2238,0
"149","907S01610",0,0,-0.0115,0,0,0,-0.0098,-0.0174,0,0,-0.0112,-0.0135,0.736,NA,NA,NA
"150","907S03210",NA,NA,1.5323,NA,174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","907S03786",-2,-2,0,-0.0298,0,4,0.2,1.5,-4,-2,0,0.1,0,-1,0.2086,0
"152","909M24925",-1,-1,-0.2144,-5e-05,0,2.5,-1.1014,-2.62245,-2.5,-3,0.011,0.1892,-0.505,NA,NA,NA
"153","909M24937",0,-18,0.458,0,-0.5,22,0,-3.2106,-22.5,NA,NA,NA,-0.30655,NA,NA,NA
"154","909SSWR03",-0.5,-0.5,-0.1756,0.00015,0,1,0.23685,-1.03185,-1,1,0.021,0.01975,0.4169,NA,NA,NA
"155","909WE0662",0,0,-0.0289,0,0,0.5,0,0.04695,-0.5,-10.5,-0.0069,-0.01955,-0.01305,NA,NA,NA
"156","909WE0780",-1,-1,0.2297,0,0,2,0,-0.1343,-2,1,0.0026,0.0304,0.1493,NA,NA,NA
"157","911S00538",-2,-0.5,0.4878,0,-0.5,0.5,-0.1162,0.11425,-1.5,-0.5,-0.09545,-0.05775,0.36445,0,16.5992,-4
"158","911S00858",0,0,0.162,0,85,0,0,0.015,0,0,0,0,0.0124,NA,NA,NA
"159","911S01142",-0.5,-2,0.47435,0,-0.5,-0.5,-0.0011,-0.06875,-2,-1,-0.0339,0.03735,0.2563,NA,NA,NA
"160","911S01818",-15,-24,0,-0.0357,0,3,-0.62,0,-26,-22,-0.02,-0.62,0,NA,NA,NA
"161","911S02058",-2,-2,0.1123,0,-1,1,-1.1607,-1.0712,-13,-11,-0.07105,-0.03305,0.9427,NA,NA,NA
"162","911S03354",0,0,5.3186,-2e-04,153,2,0,1.6382,-2,NA,NA,NA,4.1142,NA,NA,NA
"163","911S04086",-8,-61,0.1117,0,-1,0.5,-0.0487,-0.0479,-6,1,-0.05215,-0.0594,-0.009,NA,NA,NA
"164","LALT501",-6.5,-57,74.31795,0,45.5,67,-11.5555,-133.1138,-19,-25.5,2.8405,14.7294,1465.2221,-1,976.7279,-27
"165","SGLT506",-143,-3,388.7689,-0.0186,27,47,-4.0753,-23.1575,-18,-9.5,-3.04815,-4.31945,442.2723,-0.5,180.32225,-43.5
"166","SGUR010",0,0,2.5798,0,0,0,0.0266,-0.6306,0,0,-0.0306,-0.046,0.5235,0,6.7518,0
"167","SGUR103",0,0,-0.0296,0,0,-6,0.00455,0.08555,-1,-1,0.00255,0.0037,0.0036,1,-0.1323,0
"168","SGUT501",0,-3,0,0,0,-0.5,0,0,0.5,-6,0,0,-1e-04,NA,NA,NA
"169","SGUT502",0,0,-0.009,0,0,0,-0.00455,-0.00925,0,0,-0.0076,-0.0082,-0.00925,NA,NA,NA
"170","SGUT503",0,0,-0.0226,3e-04,0,-2,-0.00555,0.00705,2,0,0,0.0028,0.18385,NA,NA,NA
"171","SGUT504",1,-12,0.2514,0,-2,-5,-0.0021,-0.1062,-2,-12,0.0968,-0.002,0.2798,2.5,0.29855,-2.5
"172","SGUT505",0,0,-0.44295,0,0,0,-0.0671,-0.3777,0,0,7e-04,-0.5092,1.54735,NA,NA,NA
"173","SMC00080",-3,-13,0,0,0,-2,0,0,0,-1,0,0,0,NA,NA,NA
"174","SMC00105",-1,-1,0.0369,0,0,-4,0,0.025,4,-3,0.0025,0.004,0.1172,NA,NA,NA
"175","SMC00198",-15,0.5,77.2694,-2e-04,47,74,-0.48675,-1.9755,-29,-12,-0.8367,-1.2593,107.60025,1,21.7957,-9
"176","SMC00271",0,0,0.00795,0,0,0,0,-8e-04,0,-2,-2e-04,-3e-04,3e-04,1,-0.0016,0
"177","SMC00282",0.5,0.5,-0.0743,-1e-04,0,0.5,0.11545,0.21955,-0.5,0,-0.00385,-0.00675,0.1768,NA,NA,NA
"178","SMC00288",-13,-71,-0.306,0,44,46,-0.0093,0.03685,-13.5,-32,0.001,-0.0895,1.6697,NA,NA,NA
"179","SMC00318",-247,-12,2119.5506,-0.0287,33,44,-1.9509,-6.7858,-11,-18,-12.79555,-22.5142,2112.0054,NA,NA,NA
"180","SMC00382",-34,-67,2.9097,0,38,-10,0,-0.0339,-20,-7.5,0.00065,0.0033,4.7299,NA,NA,NA
"181","SMC00428",1,-2,0.54375,-0.3849,-14,3.5,0.56085,0,0,-3,0.01,0,0.15825,-4,-0.9665,-44
"182","SMC00436",6,15,1165.47315,-0.0362,5.5,18,-4.886,-3.9854,-10,-20,-6.5989,-3.91215,1232.1616,0,-13.5149,-26
"183","SMC00464",-3,-22,-1.1,0,0,-6,0,0,0,-1,0,0,-1e-04,NA,NA,NA
"184","SMC00476",0,-11,0,0,0,0,-0.041,0,-1,-18,0,0,0,NA,NA,NA
"185","SMC00479",-30,-65,2.6062,0,-5,54,0,-0.0662,-24,-7.5,0.00205,0.00965,5.8958,NA,NA,NA
"186","SMC00480",0,0,0,0,0,0,0,-0.0013,0,0,0,-5e-04,-1e-04,NA,NA,NA
"187","SMC00520",-1,-1,-0.1449,0,0,0,-0.03955,-0.0722,-2,0,-0.0249,0.0227,-0.0071,0,4.9767,-1
"188","SMC00544",0,-1,-4e-04,0,0,0,0,0.0037,-1,-4,0.0011,-3e-04,-0.00385,-9,-0.0676,0
"189","SMC00608",-9.5,-27.5,21.11805,0,0,10,-1.1879,-1.7351,-5,-68,0.0993,0.5876,47.9984,0.5,-71.04525,-30.5
"190","SMC00632",-11,-28,1.6927,0,14.5,44.5,0,-0.28265,-11,-12,0,0.0273,2.8586,7.5,0.13555,-20.5
"191","SMC00684",-21,-68,14.802,0,44,61,-6.7222,-3.3538,-22,-19,-0.001,-0.0658,50.3229,-10,30.72905,-45
"192","SMC00710",9.5,-38.5,139.70545,1e-04,69.5,135.5,0,-0.20885,-54.5,-82,0,-0.0095,110.8054,1,104.6886,-7
"193","SMC00748",-16,-45,25.8165,0,-9,47.5,-0.7087,-8.909,-17.5,-18,0.05865,-0.0433,118.0028,-17,-36.2201,-43.5
"194","SMC00827",0,0,0.9256,0,0,0,-0.0064,-0.0148,0,0,-0.0159,-0.0219,0.9964,0,4.6063,0
"195","SMC00873",-10.5,-41.5,12.5525,0,34.5,76.5,-0.00105,-3.1243,-14,-82,0.01535,0.07185,25.63605,NA,NA,NA
"196","SMC00899",-96,-91,20.7216,-4e-04,103,116,-0.238,-7.1936,10,130,-0.194,-0.1799,50.2443,NA,NA,NA
"197","SMC00911",0,0,-0.0025,0,0,0,0.0034,-0.0134,0,0,-0.00045,-0.00485,0.0474,0,0.5081,0
"198","SMC00924",1.5,-30.5,0.37705,-0.1373,18.5,-104,0.0021,0.2,-4,-6,0.01,0,0.04135,-3.5,0.30165,0
